n_points,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
113,1.6447419227865652e-05,1.573723231451351,0.133668095
112,1.638729390035695e-05,1.5731661693025836,0.133838549
113,1.638566476384057e-05,1.5726457491402368,0.133500218
111,1.6408347383383614e-05,1.5715431144897867,0.133672744
112,1.6362131692609343e-05,1.5768697276488246,0.133339837
116,1.642251808860936e-05,1.5768192056941293,0.13351202
109,1.6645777409308583e-05,1.5753812746369038,0.134006828
80,1.2319637493253532e-05,1.0390185814290958,0.133994862
84,1.2338870366775155e-05,1.0326659404870178,0.134305969
84,1.213183056940413e-05,1.0372689352166768,0.133329526
79,1.2134181482363455e-05,1.0375232244411607,0.133031368
82,1.2307450663233527e-05,1.0367395575978595,0.133995146
113,1.667052904932437e-05,1.5888147155623016,0.133660957
115,1.645903195252216e-05,1.59000312988622,0.132871658
112,1.6276970946776774e-05,1.5752819037252905,0.133179665
113,1.6436054806645546e-05,1.5766289952674146,0.13351202
82,1.236265843685002e-05,1.0379201611220616,0.134305999
82,1.226169248343429e-05,1.0326355305350823,0.133994848
116,1.6735538665018042e-05,1.586726032813443,0.134305969
79,1.2458830553981391e-05,1.0372915736826172,0.134484604
111,1.6412818665843878e-05,1.587454895612448,0.133339778
114,1.6347363157949453e-05,1.5763432097953565,0.133009508
114,1.6264806416047276e-05,1.5790061594938152,0.132700637
84,1.2289470060640753e-05,1.0335025218772875,0.13399516
117,1.6502179477730152e-05,1.5809360395099907,0.133523971
112,1.6469638920222336e-05,1.5929046119692516,0.132734045
79,1.2102801353606333e-05,1.047269329915673,0.132541075
113,1.6409277128955e-05,1.5885776443388295,0.133191332
81,1.2229724791961047e-05,1.0295326202800288,0.133684829
84,1.2205708495761017e-05,1.0362202503366786,0.13351202
86,1.2416232841054735e-05,1.0353136422922797,0.134492174
79,1.234746739742336e-05,1.0339133362392832,0.134318039
80,1.2309648425153315e-05,1.0347465149183694,0.133983105
83,1.2338308422810879e-05,1.0365523545437665,0.13417837
114,1.6543268927892725e-05,1.568246928373438,0.134491831
116,1.6739896164097615e-05,1.582479740418546,0.134804383
83,1.2394296895321596e-05,1.0320535382419,0.134792313
114,1.6314313423063463e-05,1.5787601614457387,0.133191675
113,1.6491127874915994e-05,1.5904933008148485,0.132883623
114,1.636528478930408e-05,1.5877648187876054,0.13269031
77,1.2018130770222764e-05,1.047984752870587,0.132382095
116,1.6414739749709065e-05,1.5673145008231566,0.133995116
113,1.662000867566072e-05,1.5907090344222934,0.133523971
113,1.6503163817116472e-05,1.59365918706126,0.132871687
114,1.6376631520901745e-05,1.5952332749075782,0.132415786
