n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
85,5.044644573050225e-07,4.840580762739777e-07,5.044644573050225e-07,1.0403196162360115,0.133870587
82,5.067298323429167e-07,4.851878271123351e-07,5.067298323429167e-07,1.0346102566836992,0.135166988
114,6.823318229241048e-07,7.063904366782042e-07,6.823318229241048e-07,1.5808027645039886,0.136872068
83,5.062908993995374e-07,4.846809790879633e-07,5.062908993995374e-07,1.0356908823057196,0.134249493
113,6.57056765663053e-07,6.758471909056222e-07,6.57056765663053e-07,1.5768105579316003,0.131607994
110,6.6133479196751e-07,6.836661468957737e-07,6.6133479196751e-07,1.5871479664556587,0.131406799
108,6.486794516375183e-07,6.701981926867849e-07,6.486794516375183e-07,1.5643908804847064,0.13112548
82,4.947043622090219e-07,4.724038777002081e-07,4.947043622090219e-07,1.0064802760109655,0.1381955
86,4.941542384756686e-07,4.7162545115773496e-07,4.941542384756686e-07,1.0107679532567277,0.139508247
82,5.01009582621344e-07,4.800130699853245e-07,5.01009582621344e-07,1.026253133381817,0.137804687
83,5.020601449176562e-07,4.810212990968774e-07,5.020601449176562e-07,1.0340144011945231,0.133517906
112,6.440766397536301e-07,6.681456081433357e-07,6.440766397536301e-07,1.5804048837181135,0.130806893
109,6.176364699870369e-07,6.437665793674388e-07,6.176364699870369e-07,1.5657851128792302,0.129952475
111,6.083141681969941e-07,6.36887361988925e-07,6.083141681969941e-07,1.5631562637305112,0.129534274
106,5.670975382769609e-07,6.017585628914624e-07,5.670975382769609e-07,1.5376238295804365,0.127819389
88,4.873395069056579e-07,4.6576297977082753e-07,4.873395069056579e-07,0.9896885885553959,0.142241165
86,4.916622829570393e-07,4.709356301230969e-07,4.916622829570393e-07,1.0026004942720157,0.142230049
85,4.890451628745002e-07,4.6903038242952026e-07,4.890451628745002e-07,1.0037282127816214,0.140960634
111,5.912566965878805e-07,6.183047330058575e-07,5.912566965878805e-07,1.5417673511202599,0.12909618
108,5.782791937819249e-07,6.124151744226672e-07,5.782791937819249e-07,1.5430773747810886,0.128301308
107,5.534256493721748e-07,5.949768562593101e-07,5.534256493721748e-07,1.5394364603226767,0.126545951
101,5.263557468397961e-07,5.707502789744312e-07,5.263557468397961e-07,1.5166353356842233,0.125038177
83,4.754079292145822e-07,4.547977082153413e-07,4.754079292145822e-07,0.9752115553473356,0.140982702
81,4.830567888968156e-07,4.628671296848394e-07,4.830567888968156e-07,0.986905289729886,0.141364962
86,4.771682688592302e-07,4.5674467919522127e-07,4.771682688592302e-07,0.9779593254345138,0.14106743
107,5.444346301321855e-07,5.847894774821633e-07,5.444346301321855e-07,1.52736314768953,0.126321524
107,5.61784579977117e-07,5.996380567357226e-07,5.61784579977117e-07,1.5391030126091232,0.127255052
107,5.35493604953951e-07,5.756317720473883e-07,5.35493604953951e-07,1.5180642009958585,0.125893369
104,5.124338951975576e-07,5.589853220202811e-07,5.124338951975576e-07,1.5070550967518273,0.125019327
102,4.894443997188082e-07,5.383982944145465e-07,4.894443997188082e-07,1.48029261396882,0.125819713
85,4.512529770559814e-07,4.3211600320002036e-07,4.512529770559814e-07,0.9643155881975414,0.140241653
82,4.626319040380351e-07,4.4202896454598944e-07,4.626319040380351e-07,0.9643252134471725,0.140577018
86,4.5361682627249207e-07,4.3437005167788017e-07,4.5361682627249207e-07,0.9675552540118565,0.140276372
102,5.011965017244512e-07,5.471496959258126e-07,5.011965017244512e-07,1.494344302281152,0.125315502
105,5.205519326028711e-07,5.681795378557239e-07,5.205519326028711e-07,1.5185093738659716,0.124886401
103,4.956467872162451e-07,5.45460556294104e-07,4.956467872162451e-07,1.4972655474237182,0.125717759
99,4.72583681497549e-07,5.215916066539602e-07,4.72583681497549e-07,1.474454103396477,0.126337647
98,4.5999999937600643e-07,5.11133244936524e-07,4.5999999937600643e-07,1.4594573708431615,0.126871452
86,4.373505199833266e-07,4.192148240435544e-07,4.373505199833266e-07,0.9574797238349909,0.140040457
83,4.3439094726835884e-07,4.1679866421036725e-07,4.3439094726835884e-07,0.9584834565982224,0.14102447
83,4.326209091502579e-07,4.117318676899519e-07,4.326209091502579e-07,0.9493226025945927,0.140049309
83,4.313445757519216e-07,4.093836900474635e-07,4.313445757519216e-07,0.9534749594989305,0.140224591
99,4.691889398342756e-07,5.203228403649693e-07,4.691889398342756e-07,1.4734361376851581,0.126548499
104,4.757282820951851e-07,5.232041127430296e-07,4.757282820951851e-07,1.4686669877428367,0.126091167
100,4.5876148255253843e-07,5.081338468244071e-07,4.5876148255253843e-07,1.4565415241456159,0.126761511
101,4.462130244155593e-07,4.967344399869189e-07,4.462130244155593e-07,1.4447251944040942,0.127308667
101,4.256384331942181e-07,4.77316112569092e-07,4.256384331942181e-07,1.4201611072411346,0.128192946
88,4.3850311946508917e-07,4.2093662590223784e-07,4.3850311946508917e-07,0.9623906161039065,0.140949517
86,4.0804034533745165e-07,3.878283027108045e-07,4.0804034533745165e-07,0.9609034836954048,0.142338768
86,4.2826328372303023e-07,4.10464960335387e-07,4.2826328372303023e-07,0.9630244629378465,0.141396016
