n_points,HI_percent,mean_inlet_velocity
59,2.8829904340839653e-12,28.2425022
59,2.9964213026282115e-12,28.2242451
59,3.0756756600489823e-12,28.2120762
59,3.1977791846224903e-12,28.1937046
59,3.279066637887461e-12,28.18116
59,3.4213555700441434e-12,28.1624146
59,3.4703717000009335e-12,28.1499233
59,3.6020847955599904e-12,28.1311665
59,3.70202145740396e-12,28.1184006
59,3.8607091415974645e-12,28.0988312
59,4.0452966389046006e-12,28.0857868
59,4.246016633139437e-12,28.066288
59,4.326385211820351e-12,28.0532551
59,4.484026681346826e-12,28.0334053
59,4.595646484384243e-12,28.0199718
59,4.786921006915623e-12,27.9998188
59,4.880597978566948e-12,27.9864063
59,5.1143409769702836e-12,27.9662914
59,5.2594719526135784e-12,27.952713
59,5.438197346768491e-12,27.9319324
59,5.602271859802481e-12,27.917984
59,5.850524388558053e-12,27.8975067
59,6.021361210138894e-12,27.8836002
59,6.3157012507447725e-12,27.8627586
58,6.530160194011229e-12,27.848877
59,6.844812905760986e-12,27.8274899
59,7.077720710978455e-12,27.8133526
59,7.387453217426766e-12,27.7921448
59,7.590279755538746e-12,27.7776165
59,7.96739507361029e-12,27.7558079
59,8.228363995574029e-12,27.7413979
59,8.633164858681617e-12,27.7197151
59,8.946314771480471e-12,27.7046776
59,9.373946943113677e-12,27.6825428
59,9.685460095980312e-12,27.6679058
59,1.0215299049053693e-11,27.6459236
59,1.0384392527234461e-11,27.6306229
59,1.1017308899403727e-11,27.6082649
59,1.1472864436043142e-11,27.5934372
59,1.2044975589778462e-11,27.5708618
59,1.2394662608971076e-11,27.5552921
59,1.3029528677179543e-11,27.5327263
58,1.3444464391557066e-11,27.517683
59,1.411219062882442e-11,27.4944458
59,1.4620633867853956e-11,27.4788761
59,1.5468409243013685e-11,27.4561367
59,1.5951769639967187e-11,27.4410992
59,1.6730375399662284e-11,27.4185429
59,1.741283141014862e-11,27.4031906
59,1.849597038663252e-11,27.3799801
59,1.912300879186323e-11,27.3643723
59,2.0182077436891517e-11,27.3414707
59,2.0911614556282846e-11,27.3265667
59,2.2138503289544197e-11,27.3033504
59,2.32001973531237e-11,27.2875423
59,2.4101581353670597e-11,27.2638321
59,2.499196797960219e-11,27.2479668
59,2.7528088670814893e-11,27.2239494
60,2.8023877645658405e-11,27.2079391
60,2.955801655057639e-11,27.1843204
60,3.0743218592575956e-11,27.1686478
60,3.2651825697788515e-11,27.1450005
60,3.44763314399733e-11,27.1292362
60,3.558074412014623e-11,27.1058311
60,3.77800480133696e-11,27.0892887
60,4.025486472033292e-11,27.0650139
60,4.2109016908287776e-11,27.0496311
60,4.4366568690018383e-11,27.0267696
60,4.6396861480362283e-11,27.011673
61,4.838741283031715e-11,26.988348
61,5.0304398281592956e-11,26.9724903
60,5.414710647665709e-11,26.9491863
60,5.700472418704663e-11,26.933569
60,6.00714498421281e-11,26.9101105
61,6.262828622391398e-11,26.894558
61,6.605315254402241e-11,26.8715839
61,6.737762652246499e-11,26.8562698
61,7.239327140185337e-11,26.8329449
62,7.55860927935033e-11,26.8176804
62,7.962924976476411e-11,26.7948589
62,8.297424495333925e-11,26.7795162
62,8.758935439901332e-11,26.7569141
62,9.215000198227714e-11,26.7422009
62,9.943752460222245e-11,26.7200546
63,1.0471365709321417e-10,26.7051239
63,1.1187005838050208e-10,26.6834469
62,1.2058441779504263e-10,26.6690502
63,1.3035367732055778e-10,26.64715
63,1.3642373773706054e-10,26.6326008
64,1.5055687948276363e-10,26.6109276
64,1.5848554331383486e-10,26.596487
64,1.7267252600355063e-10,26.5750542
64,1.8288395285797347e-10,26.5610733
64,2.0492206971754232e-10,26.540062
64,2.2132745216911891e-10,26.526207
65,2.499656644649955e-10,26.506134
66,2.653962787000585e-10,26.4926605
65,3.0815101406462974e-10,26.4725323
66,3.2973406227022945e-10,26.459507
66,3.943266594256473e-10,26.4399128
67,4.3558766931551317e-10,26.4268532
68,5.008844904476989e-10,26.4075031
69,5.777931492845757e-10,26.3949051
69,7.120028867432445e-10,26.3759422
71,8.81584615753491e-10,26.363306
73,1.1600846829821809e-09,26.3452682
73,1.4379729122403443e-09,26.333065
76,2.04142380929715e-09,26.3147984
77,2.9103329716446034e-09,26.3035717
81,5.330571359155782e-09,26.2862988
